Location,"Population, total",Population density (people per sq. km of land area),GDP_per_capita_USD,Current_health_expenditure_per_capita_USD,"Population, female (% of total population)","Literacy rate, adult total (% of people ages 15 and above)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Urban population%,Rural population (% of total population)
Afghanistan,37172386,56.93776001,520.8966027,67.12265015,48.6358467,43.01972,32.487,6.423,25.495,74.505
Albania,2866376,104.6122628,5268.848504,,49.0630946,98.14115,11.78,7.898,60.319,39.681
Algeria,42228429,17.73007507,4114.715061,258.4942932,49.48426788,81.40784,24.282,4.716,72.629,27.371
American Samoa,55465,277.325,11466.69071,,,,,,87.153,12.847
Andorra,77006,163.8425532,42029.76274,4040.786621,,,7.2,4.4,88.062,11.938
Angola,30809762,24.71305206,3432.385736,114.4596405,50.53046293,,40.729,8.19,65.514,34.486
Antigua and Barbuda,96286,218.8318182,16726.98081,673.8596802,51.78849629,,15.327,6.366,24.599,75.401
Argentina,44494502,16.2585101,11683.94962,1324.603516,51.23734845,99.00387,17.021,7.609,91.87,8.13
Armenia,2951776,103.6802248,4212.070943,407.6358643,52.95657715,,13.987,9.857,63.149,36.851
Aruba,105845,588.0277778,26404.66,,52.53103566,97.80742,11.652,9.053,43.411,56.589
Australia,24982688,3.249129487,57373.68668,5331.817871,50.19962324,,12.6,6.3,86.012,13.988
Austria,8840521,107.2069267,51461.95478,4939.875488,50.82942665,,9.7,9.5,58.297,41.703
Azerbaijan,9939800,120.2653199,4721.178087,275.8093567,50.1157491,,14,5.8,55.68,44.32
Bahamas,385640,38.52547453,32217.87159,1771.535522,51.42505219,,13.968,6.771,83.025,16.975
Bahrain,1569439,2017.2737,24050.75751,1127.186279,36.34825161,97.46419,13.99,2.385,89.287,10.713
Bangladesh,161000000,1239.579312,1698.262802,36.28233719,49.38729667,73.9122,18.184,5.529,36.632,63.368
Barbados,286641,666.6069767,17949.28151,1183.836182,51.67283003,,10.648,9.004,31.147,68.853
Belarus,9483499,46.7287999,6289.938553,342.4999084,53.45605422,99.75656,9.9,12.7,78.595,21.405
Belgium,11433256,377.2149273,47518.63604,4507.356445,50.59331939,,10.3,10.7,98.001,1.999
